Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
79999.0,1585.0,2018 Renault Kwid 1.0 Dynamique,Used Car66 000 kmManual,JODES MOTORS,"Allen Grove, Kempton Park",Manual,66.0,2018,Renault,Kwid,"['1.0', 'Dynamique']"
79999.0,1585.0,2013 Ford Figo 1.4 Ambiente,Used Car103 000 kmManual,GF MOTORS,"Bramley, Johannesburg",Manual,103.0,2013,Ford,Figo,"['1.4', 'Ambiente']"
79999.0,1585.0,2014 Mazda Mazda3 Sport 1.6 Dynamic,Used Car96 000 kmManual,SMART CARS JHB,"Bezuidenhout Valley, Johannesburg",Manual,96.0,2014,Mazda,Mazda3,"['Sport', '1.6', 'Dynamic']"
79995.0,1585.0,2017 Datsun Go 1.2 Lux,Used Car148 000 kmManual,PRESTIGE AUTO TRADERS,"Alberton North, Alberton",Manual,148.0,2017,Datsun,Go,"['1.2', 'Lux']"
79995.0,1585.0,2012 Toyota Yaris 5-Door Zen3 S,Used Car132 000 kmManual,DE REV AUTOS,"Kew Industrial, Johannesburg",Manual,132.0,2012,Toyota,Yaris,"['5-Door', 'Zen3', 'S']"
79995.0,1585.0,2017 Chevrolet Spark 1.2 L,Used Car75 000 kmManual,DE REV AUTOS,"Kew Industrial, Johannesburg",Manual,75.0,2017,Chevrolet,Spark,"['1.2', 'L']"
79995.0,1585.0,2013 Ford Figo 1.4 Ambiente,Used Car86 000 kmManual,DE REV AUTOS,"Kew Industrial, Johannesburg",Manual,86.0,2013,Ford,Figo,"['1.4', 'Ambiente']"
79995.0,1585.0,2012 Volkswagen Polo Vivo 5-Door 1.4,Used Car102 000 kmManual,DE REV AUTOS,"Kew Industrial, Johannesburg",Manual,102.0,2012,Volkswagen,Polo,"['Vivo', '5-Door', '1.4']"
79950.0,1584.0,2019 Renault Kwid 1.0 Expression,Used Car35 000 kmManual,SANDTON AUTO,"Wynberg, Sandton",Manual,35.0,2019,Renault,Kwid,"['1.0', 'Expression']"
79950.0,1584.0,2019 Renault Kwid 1.0 Expression,Used Car81 000 kmManual,SANDTON AUTO,"Wynberg, Sandton",Manual,81.0,2019,Renault,Kwid,"['1.0', 'Expression']"
