Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
150000.0,2972.0,2015 Mazda Mazda2 1.5 Dynamic,Used Car65 000 kmManual,MARATHON AUTO,"Maboneng, Johannesburg",Manual,65.0,2015,Mazda,Mazda2,"['1.5', 'Dynamic']"
150000.0,2972.0,2017 Ford Tourneo Connect 1.0T Titanium,Used Car96 000 kmManual,MARATHON AUTO,"Maboneng, Johannesburg",Manual,96.0,2017,Ford,Tourneo,"['Connect', '1.0T', 'Titanium']"
149999.0,2972.0,2013 Nissan Juke 1.6T Tekna,Used Car162 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",Manual,162.0,2013,Nissan,Juke,"['1.6T', 'Tekna']"
149999.0,2972.0,2017 Nissan NP200 1.6i,Used Car166 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",Manual,166.0,2017,Nissan,NP200,['1.6i']
149999.0,2972.0,2013 Opel Meriva 1.4 Turbo Enjoy,Used Car137 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",Manual,137.0,2013,Opel,Meriva,"['1.4', 'Turbo', 'Enjoy']"
149999.0,2972.0,2016 Renault Clio 66kW Turbo Expression,Used Car94 000 kmManual,MAHINDRA EAST RAND GROUP,"Boksburg West, Boksburg",Manual,94.0,2016,Renault,Clio,"['66kW', 'Turbo', 'Expression']"
149999.0,2972.0,2009 Subaru Forester 2.5 XT Auto,Used Car178 000 kmAutomatic,CITTON CARS GEZINA,"Gezina, Pretoria",Automatic,178.0,2009,Subaru,Forester,"['2.5', 'XT', 'Auto']"
149999.0,2972.0,2013 Hyundai Accent Sedan 1.6 Fluid,Used Car103 000 kmManual,ANDRE AND SON MOTORS CC,"Rhodesfield, Kempton Park",Manual,103.0,2013,Hyundai,Accent,"['Sedan', '1.6', 'Fluid']"
149999.0,2972.0,2012 Volvo S40 2.0 Auto,Used Car149 063 kmAutomatic,CITTON CARS GEZINA,"Gezina, Pretoria",Automatic,149.063,2012,Volvo,S40,"['2.0', 'Auto']"
149999.0,2972.0,2016 Nissan Almera 1.5 Acenta,Used Car101 000 kmManual,CITTON CARS MENLYN,"Menlyn, Pretoria",Manual,101.0,2016,Nissan,Almera,"['1.5', 'Acenta']"
149999.0,2972.0,2015 Renault Clio 66kW Turbo Expression,Used Car105 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",Manual,105.0,2015,Renault,Clio,"['66kW', 'Turbo', 'Expression']"
149999.0,2972.0,2015 Volkswagen Polo Vivo Hatch 1.4 Trendline,Used Car103 000 kmManual,ANDRE AND SON MOTORS CC,"Rhodesfield, Kempton Park",Manual,103.0,2015,Volkswagen,Polo,"['Vivo', 'Hatch', '1.4', 'Trendline']"
149999.0,2972.0,2010 BMW 5 Series 550i,Used Car150 000 kmAutomatic,Private Business Seller,"Bedfordview, Bedfordview",Automatic,150.0,2010,BMW,5,"['Series', '550i']"
149999.0,2972.0,2016 Fiat 500 TwinAir Pop Star,Used Car63 000 kmManual,CITTON CARS MENLYN,"Menlyn, Pretoria",Manual,63.0,2016,Fiat,500,"['TwinAir', 'Pop', 'Star']"
149999.0,2972.0,2019 Mahindra KUV100 Nxt 1.2 G80 K6+,Used Car24 000 kmManual,MAHINDRA EAST RAND GROUP,"Boksburg West, Boksburg",Manual,24.0,2019,Mahindra,KUV100,"['Nxt', '1.2', 'G80', 'K6+']"
149995.0,2972.0,2012 Nissan Juke 1.6T Tekna,Used Car187 000 kmManual,INSPECTACAR GEZINA,"Capital Park, Pretoria",Manual,187.0,2012,Nissan,Juke,"['1.6T', 'Tekna']"
149995.0,2972.0,2011 Jaguar XF 5.0 Premium Luxury,Used Car134 000 kmAutomatic,INSPECTACAR GEZINA,"Capital Park, Pretoria",Automatic,134.0,2011,Jaguar,XF,"['5.0', 'Premium', 'Luxury']"
149995.0,2972.0,2016 Volkswagen Polo Vivo 5-Door 1.4 Trendline,Used Car127 000 kmManual,MULSONS USED CARS,"Witfield, Boksburg",Manual,127.0,2016,Volkswagen,Polo,"['Vivo', '5-Door', '1.4', 'Trendline']"
