0,1,2,3,4,5,6,7
10,R 150 000,R 2 972 p/m,2015 Mazda Mazda2 1.5 Dynamic,Used Car65 000 kmManual,MARATHON AUTO,"Maboneng, Johannesburg",km from you?
12,R 150 000,R 2 972 p/m,2017 Ford Tourneo Connect 1.0T Titanium,Used Car96 000 kmManual,MARATHON AUTO,"Maboneng, Johannesburg",km from you?
14,R 149 999,R 2 972 p/m,2013 Nissan Juke 1.6T Tekna,Used Car162 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",km from you?
14,R 149 999,R 2 972 p/m,2017 Nissan NP200 1.6i,Used Car166 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",km from you?
16,R 149 999,R 2 972 p/m,2013 Opel Meriva 1.4 Turbo Enjoy,Used Car137 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",km from you?
16,R 149 999,R 2 972 p/m,2016 Renault Clio 66kW Turbo Expression,Used Car94 000 kmManual,MAHINDRA EAST RAND GROUP,"Boksburg West, Boksburg",km from you?
15,R 149 999,R 2 972 p/m,2009 Subaru Forester 2.5 XT Auto,Used Car178 000 kmAutomatic,CITTON CARS GEZINA,"Gezina, Pretoria",km from you?
9,R 149 999,R 2 972 p/m,2013 Hyundai Accent Sedan 1.6 Fluid,Used Car103 000 kmManual,ANDRE AND SON MOTORS CC,"Rhodesfield, Kempton Park",km from you?
4,R 149 999,R 2 972 p/m,2012 Volvo S40 2.0 Auto,Used Car149 063 kmAutomatic,CITTON CARS GEZINA,"Gezina, Pretoria",km from you?
16,R 149 999,R 2 972 p/m,2016 Nissan Almera 1.5 Acenta,Used Car101 000 kmManual,CITTON CARS MENLYN,"Menlyn, Pretoria",km from you?
14,R 149 999,R 2 972 p/m,2015 Renault Clio 66kW Turbo Expression,Used Car105 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",km from you?
7,R 149 999,R 2 972 p/m,2015 Volkswagen Polo Vivo Hatch 1.4 Trendline,Used Car103 000 kmManual,ANDRE AND SON MOTORS CC,"Rhodesfield, Kempton Park",km from you?
15,R 149 999,R 2 972 p/m,2010 BMW 5 Series 550i,Used Car150 000 kmAutomatic,Private Business Seller,"Bedfordview, Bedfordview",km from you?
16,R 149 999,R 2 972 p/m,2016 Fiat 500 TwinAir Pop Star,Used Car63 000 kmManual,CITTON CARS MENLYN,"Menlyn, Pretoria",km from you?
11,R 149 999,R 2 972 p/m,2019 Mahindra KUV100 Nxt 1.2 G80 K6+,Used Car24 000 kmManual,MAHINDRA EAST RAND GROUP,"Boksburg West, Boksburg",km from you?
12,R 149 995,R 2 972 p/m,2012 Nissan Juke 1.6T Tekna,Used Car187 000 kmManual,INSPECTACAR GEZINA,"Capital Park, Pretoria",km from you?
2,R 149 995,R 2 972 p/m,2011 Jaguar XF 5.0 Premium Luxury,Used Car134 000 kmAutomatic,INSPECTACAR GEZINA,"Capital Park, Pretoria",km from you?
13,R 149 995,R 2 972 p/m,2016 Volkswagen Polo Vivo 5-Door 1.4 Trendline,Used Car127 000 kmManual,MULSONS USED CARS,"Witfield, Boksburg",km from you?
18,R 149 995,R 2 972 p/m,2006 Volkswagen Beetle Cabriolet 2.0,Used Car99 560 kmManual,JAGUAR LAND ROVER THE GLEN,"Oakdene, Johannesburg",km from you?
