Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
99995.0,1981.0,2013 Chevrolet Utility 1.8,Used Car205 620 kmManual,RND CARS,"Edendale, Edenvale",Manual,205.62,2013,Chevrolet,Utility,['1.8']
99995.0,1981.0,2013 Renault Clio 1.6 Yahoo!,Used Car124 000 kmManual,STANDER MOTORS,"Nigel Central, Nigel",Manual,124.0,2013,Renault,Clio,"['1.6', 'Yahoo!']"
99995.0,1981.0,2003 Audi TT 1.8T Quattro Roadster,Used Car148 000 kmManual,STANDER MOTORS,"Nigel Central, Nigel",Manual,148.0,2003,Audi,TT,"['1.8T', 'Quattro', 'Roadster']"
99990.0,1981.0,2007 Volvo V50 2.0 L,Used Car225 851 kmManual,HEINRICH AND SEUNS MOTORS,"Montana Tuine, Pretoria",Manual,225.851,2007,Volvo,V50,"['2.0', 'L']"
99990.0,1981.0,2007 Toyota Yaris 1.3 T3+ 5-Door,Used Car160 138 kmManual,HEINRICH AND SEUNS MOTORS,"Montana Tuine, Pretoria",Manual,160.138,2007,Toyota,Yaris,"['1.3', 'T3+', '5-Door']"
99990.0,1981.0,2006 Opel Corsa 1.8 GSi,Used Car148 600 kmManual,HEINRICH AND SEUNS MOTORS,"Montana Tuine, Pretoria",Manual,148.6,2006,Opel,Corsa,"['1.8', 'GSi']"
99990.0,1981.0,2009 Volkswagen Citi CitiRox 1.4i,Used Car108 867 kmManual,HEINRICH AND SEUNS MOTORS,"Montana Tuine, Pretoria",Manual,108.867,2009,Volkswagen,Citi,"['CitiRox', '1.4i']"
99990.0,1981.0,2013 Suzuki SX4 2.0 Auto,Used Car264 000 kmAutomatic,AUTO INTEGRITY CC,"Die Wilgers, Pretoria",Automatic,264.0,2013,Suzuki,SX4,"['2.0', 'Auto']"
99990.0,1981.0,2011 BMW 1 Series 118i 5-Door Urban Auto,Used Car223 958 kmAutomatic,AUTO INTEGRITY CC,"Die Wilgers, Pretoria",Automatic,223.958,2011,BMW,1,"['Series', '118i', '5-Door', 'Urban', 'Auto']"
99990.0,1981.0,2014 Nissan NP200 1.6i,Used Car235 900 kmManual,AUTO INTEGRITY CC,"Die Wilgers, Pretoria",Manual,235.9,2014,Nissan,NP200,['1.6i']
99950.0,1980.0,2013 Honda Brio Hatch 1.2 Trend,Used Car157 500 kmManual,SQUAD CARS,"Pretoria Central, Pretoria",Manual,157.5,2013,Honda,Brio,"['Hatch', '1.2', 'Trend']"
99950.0,1980.0,2010 Hyundai Accent 1.6 GLS,Used Car306 000 kmManual,SQUAD CARS,"Pretoria Central, Pretoria",Manual,306.0,2010,Hyundai,Accent,"['1.6', 'GLS']"
99950.0,1980.0,2009 Nissan Livina 1.6 Visia,Used Car193 500 kmManual,SQUAD CARS,"Pretoria Central, Pretoria",Manual,193.5,2009,Nissan,Livina,"['1.6', 'Visia']"
99950.0,1980.0,2012 Nissan Tiida Sedan 1.6 Visia,Used Car377 500 kmManual,SQUAD CARS,"Pretoria Central, Pretoria",Manual,377.5,2012,Nissan,Tiida,"['Sedan', '1.6', 'Visia']"
99950.0,1980.0,2012 Honda Accord 2.0 L,Used Car241 000 kmManual,SQUAD CARS,"Pretoria Central, Pretoria",Manual,241.0,2012,Honda,Accord,"['2.0', 'L']"
99950.0,1980.0,2005 Opel Corsa Utility 1.7DTi Club,Used Car230 000 kmManual,TOP SPEED MOTORS,"Vanderbijlpark CE 6, Vanderbijlpark",Manual,230.0,2005,Opel,Corsa,"['Utility', '1.7DTi', 'Club']"
99950.0,1980.0,2014 Chevrolet Spark 1.2 LS,Used Car144 121 kmManual,F AND D MAINLINE AUTO,"Hennops Park Industrial, Centurion",Manual,144.121,2014,Chevrolet,Spark,"['1.2', 'LS']"
99950.0,1980.0,2013 SsangYong Korando 2.0 High,Used Car189 000 kmManual,LENASIA VW,"Lenasia Ext 1, Johannesburg",Manual,189.0,2013,SsangYong,Korando,"['2.0', 'High']"
99950.0,1980.0,2014 Ford Figo 1.4 Ambiente,Used Car142 948 kmManual,EAE MOTORS,"Vereeniging Central, Vereeniging",Manual,142.948,2014,Ford,Figo,"['1.4', 'Ambiente']"
99950.0,1980.0,2006 Mercedes-Benz C-Class C180 Classic Auto,Used Car237 803 kmAutomatic,EAE MOTORS,"Vereeniging Central, Vereeniging",Automatic,237.803,2006,Mercedes-Benz,C-Class,"['C180', 'Classic', 'Auto']"
99950.0,1980.0,2007 Chrysler Voyager 2.4 SE,Used Car240 346 kmManual,EAE MOTORS,"Vereeniging Central, Vereeniging",Manual,240.346,2007,Chrysler,Voyager,"['2.4', 'SE']"
99950.0,1980.0,2002 Mercedes-Benz C-Class C230K,Used Car165 083 kmManual,EAE MOTORS,"Vereeniging Central, Vereeniging",Manual,165.083,2002,Mercedes-Benz,C-Class,['C230K']
99950.0,1980.0,1997 Toyota Corolla 160i GLE Auto,Used Car176 818 kmAutomatic,EAE MOTORS,"Vereeniging Central, Vereeniging",Automatic,176.818,1997,Toyota,Corolla,"['160i', 'GLE', 'Auto']"
99950.0,1980.0,2009 Mazda Mazda2 Hatch 1.3 Dynamic,Used Car153 166 kmManual,EAE MOTORS,"Vereeniging Central, Vereeniging",Manual,153.166,2009,Mazda,Mazda2,"['Hatch', '1.3', 'Dynamic']"
99950.0,1980.0,2007 Honda CR-V 2.0 RVSi Auto,Used Car190 751 kmAutomatic,ANGLO CAR DEALERS,"Benoni Industrial, Benoni",Automatic,190.751,2007,Honda,CR-V,"['2.0', 'RVSi', 'Auto']"
99950.0,1980.0,2004 Mercedes-Benz C-Class C220Cdi Classic Auto,Used Car228 000 kmAutomatic,SQUAD CARS,"Pretoria Central, Pretoria",Automatic,228.0,2004,Mercedes-Benz,C-Class,"['C220Cdi', 'Classic', 'Auto']"
99950.0,1980.0,2012 Audi A3 3-Door 1.4T Attraction Auto,Used Car239 000 kmAutomatic,INFINITI AUTO BOKSBURG,"Bardene, Boksburg",Automatic,239.0,2012,Audi,A3,"['3-Door', '1.4T', 'Attraction', 'Auto']"
99950.0,1980.0,2009 BMW 3 Series 325i M Sport Auto,Used Car235 700 kmAutomatic,ANGLO CAR DEALERS,"Benoni Industrial, Benoni",Automatic,235.7,2009,BMW,3,"['Series', '325i', 'M', 'Sport', 'Auto']"
99950.0,1980.0,2010 Chevrolet Aveo 1.6 LT Sedan,Used Car102 200 kmManual,JANNIE VAN SCHALKWYK MOTORS,"Vereeniging Central, Vereeniging",Manual,102.2,2010,Chevrolet,Aveo,"['1.6', 'LT', 'Sedan']"
99950.0,1980.0,2012 Nissan Micra 1.2 Visia+,Used Car157 200 kmManual,LETS DEAL CARS,"Vereeniging Central, Vereeniging",Manual,157.2,2012,Nissan,Micra,"['1.2', 'Visia+']"
99950.0,1980.0,2014 Hyundai i10 1.1 GLS,Used Car179 600 kmManual,ANGLO CAR DEALERS,"Benoni Industrial, Benoni",Manual,179.6,2014,Hyundai,i10,"['1.1', 'GLS']"
99950.0,1980.0,2011 Lexus IS 250 S,Used Car106 000 kmAutomatic,SANDTON AUTO,"Wynberg, Sandton",Automatic,106.0,2011,Lexus,IS,"['250', 'S']"
99950.0,1980.0,2010 Hyundai ix35 2.0 GLS,Used Car260 000 kmManual,SANDTON AUTO,"Wynberg, Sandton",Manual,260.0,2010,Hyundai,ix35,"['2.0', 'GLS']"
99950.0,1980.0,2014 Ford Figo 1.4 Ambiente,Used Car152 000 kmManual,CARS TO GO,"Pretoria North, Pretoria",Manual,152.0,2014,Ford,Figo,"['1.4', 'Ambiente']"
99950.0,1980.0,2002 Toyota Tazz 130,Used Car63 000 kmManual,MOMENTUM AUTO,"Unitas Park, Vereeniging",Manual,63.0,2002,Toyota,Tazz,['130']
99950.0,1980.0,2005 Nissan X-Trail 2.0 L,Used Car180 000 kmManual,G I G MOTORS,"Edenvale Central, Edenvale",Manual,180.0,2005,Nissan,X-Trail,"['2.0', 'L']"
99950.0,1980.0,1997 Toyota RAV4 3 door,Used Car227 000 kmManual,WEST78,"Lyndhurst, Johannesburg",Manual,227.0,1997,Toyota,RAV4,"['3', 'door']"
99950.0,1980.0,2011 Renault Scenic 1.6 Expression,Used Car111 638 kmManual,VEE MOTORS,"Edenvale Central, Edenvale",Manual,111.638,2011,Renault,Scenic,"['1.6', 'Expression']"
99950.0,1980.0,2008 Opel Corsa Utility 1.4,Used Car125 000 kmManual,WHITE RHINO MOTORS,"Gezina, Pretoria",Manual,125.0,2008,Opel,Corsa,"['Utility', '1.4']"
99950.0,1980.0,2009 Peugeot 207 CC 1.6 Sport 2,Used Car125 127 kmManual,VEE MOTORS,"Edenvale Central, Edenvale",Manual,125.127,2009,Peugeot,207,"['CC', '1.6', 'Sport', '2']"
99950.0,1980.0,2015 Opel Corsa 1.4 Essentia,Used Car173 180 kmManual,VEE MOTORS,"Edenvale Central, Edenvale",Manual,173.18,2015,Opel,Corsa,"['1.4', 'Essentia']"
99950.0,1980.0,2012 Hyundai i20 1.4 Fluid,Used Car135 000 kmManual,GET MORE CAR,"Hoogland, Randburg",Manual,135.0,2012,Hyundai,i20,"['1.4', 'Fluid']"
99950.0,1980.0,2011 Honda Jazz 1.5 Elegance,Used Car280 787 kmManual,ANGLO CAR DEALERS,"Benoni Industrial, Benoni",Manual,280.787,2011,Honda,Jazz,"['1.5', 'Elegance']"
99950.0,1980.0,2012 Chevrolet Aveo Sedan 1.6 L,Used Car141 579 kmManual,SOLLYS CAR SALES,"Nigel Central, Nigel",Manual,141.579,2012,Chevrolet,Aveo,"['Sedan', '1.6', 'L']"
99950.0,1980.0,2010 Hyundai ix35 2.0 GLS,Used Car260 000 kmManual,INFINITI AUTO BOKSBURG,"Bardene, Boksburg",Manual,260.0,2010,Hyundai,ix35,"['2.0', 'GLS']"
